NO,TestItem,Lower,Upper,Mode,StartFlag,EndFlag,Enable
1,GetSerialNumber,NA,NA,Skip,,NA,True
2,PP_VBATT,2.095,2.203,Compare,10PIN->PP_VBATT,mV,True
3,ANALOG_AMP_OUT_P,2.247,2.321,Compare,10PIN->ANALOG_AMP_OUT_P,mV,True
4,ANALOG_AMP_OUT_N,2.237,2.311,Compare,10PIN->ANALOG_AMP_AMP_OUT_N,mV,True
5,IO_SOC__TO_FRONT_MIC_SEL_PERF,2.215,2.275,Compare,10PIN->IO_SOC__TO_FRONT_MIC_SEL_PERF,mV,True
6,PP1V8_LSC_0_KADABRA_TX,2.082,2.162,Compare,10PIN->ANALOG_MPU_NTC_BAT,mV,True
7,PP1V8_LSC_0,2.082,2.162,Compare,10PIN->PP1V8_LSC_0,mV,True
8,IO_PMU_TO_PCM_UVP_TRIG,1.935,2.025,Compare,10PIN->IO_PMU_TO_PCM_UVP_TRIG,mV,True
9,I2C0_RTP_BI_KADABRA_SDA_D,2.205,2.321,Compare,10PIN->I2C0_RTP_BI_KADABRA_SDA_D,mV,True
10,PDM_AUD_FROM_TOP_FRONT_MIC_DATA,2.205,2.295,Compare,10PIN->PDM_AUD_FROM_TOP_FRONT_MIC_DATA,mV,True
11,PDM_AUD_TO_FRONT_MIC_CLK,2.205,2.295,Compare,10PIN->PDM_AUD_TO_FRONT_MIC_CLK,mV,True
12,I2C0_RTP_TO_KADABRA_SCL_D,2.205,2.295,Compare,10PIN->I2C0_RTP_TO_KADABRA_SCL_D,mV,True
13,PP1V2_LSB_0,2.215,2.275,Compare,10PIN->PP1V2_LSB_0,mV,True
14,IO_SOC_FROM_KADABRA_INT_L,2.207,2.283,Compare,10PIN->IO_SOC_FROM_KADABRA_INT_L,mV,True
15,PACK_NEG,2.461,2.515,Compare,10PIN->PACK_NEG,mV,True
16,PP2V7_LDO2,1.951,2.099,Compare,10PIN->3PIN_CELL,mV,True
17,I2C1_RTP_TO_MANDO_SCL,2.205,2.305,Compare,10PIN->I2C1_RTP_TO_MANDO_SCL,mV,True
18,I2C1_RTP_BI_MANDO_SDA,2.205,2.305,Compare,10PIN->I2C1_RTP_BI_MANDO_SDA,mV,True
19,PP_FUN_BUS,2.055,2.174,Compare,10PIN->19,mV,True
20,GND,2.464,2.515,Compare,10PIN->20,mV,True